Phi,V,DV,DDV
0.7421411703281379,-3.460889693104657,0.47384630483716966,8.91961517869994
0.7696278803402912,-3.444582415696773,0.7088858505284354,8.084071119497379
0.7971145903524444,-3.4222059447525885,0.912651171468263,6.635839023543588
0.8246013003645977,-3.3948585905639397,1.0674724775274183,4.508778475734051
0.8520880103767509,-3.3641537968303976,1.1533757297220768,1.601873607461248
0.8795747203889042,-3.332295384275919,1.1472976977321798,-2.202649800857454
0.9070614304010575,-3.302162914062751,1.0233141604437859,-6.982602291046817
0.9345481404132107,-3.2773655958305503,0.7547760458748015,-12.704347270125847
0.962034850425364,-3.262218133451419,0.31739976412853943,-19.250843143972187
0.9895215604375172,-3.2616671491804965,-0.3111367388380887,-26.639611345775542
1.0170082704496703,-3.2813091741631473,-1.1566501479692852,-35.06062915726347
1.0444949804618238,-3.3275042948875733,-2.2479596793327628,-44.52815574866905
1.071981690473977,-3.407424267398234,-3.616425970123375,-55.262751046416966
1.0994684004861301,-3.5291602526204837,-5.295450421584769,-67.07542334146338
1.1269551104982836,-3.7016628464330137,-7.316680337678987,-80.25698813948527
1.1544418205104368,-3.934867050626602,-9.717075061140324,-94.49717585266515
1.18192853052259,-4.2395307901480805,-12.521292942798771,-109.86420926678292
1.2094152405347431,-4.627318592930263,-15.773344581104253,-126.90259179958383
1.2369019505468966,-5.110996864863464,-19.50053877018705,-144.4787172507804
1.2643886605590497,-5.703977425578378,-23.7359056955261,-164.01575562166894
1.291875370571203,-6.420893117814821,-28.520545210980575,-184.10615730634964
1.3193620805833564,-7.276974150656557,-33.86643729400357,-205.13706068314215
1.3468487905955095,-8.288056749073485,-39.80024359708844,-226.4906429413009
1.3743355006076627,-9.470247163682922,-46.3159479127397,-247.69189230897774
1.401822210619816,-10.839536576410161,-53.41075079769532,-268.1256341935523
1.4293089206319693,-12.4112049950259,-61.02854484840142,-285.837079427734
1.4567956306441225,-14.198788005683054,-69.11718653040312,-302.5657206024274
1.4842823406562757,-16.21479318115363,-77.63664506862575,-316.580720380605
1.5117690506684291,-18.46968407772991,-86.47841139550333,-326.17603523129435
1.5392557606805823,-20.97088743825046,-95.54986118084031,-333.7547943414113
1.5667424706927355,-23.724209445080305,-104.8198563527278,-340.56076309822635
